respondent_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,Не использую,Используется на нескольких этапах,Базовый уровень,Доверяю типовым решениям,Использование поощряется,Использую только веб-интерфейсы,"Заметный, 10-30%","Да, планирую активное расширение"
2,Регулярно несколько раз в неделю,Используется на нескольких этапах,Уверенный уровень,Доверяю типовым решениям,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
3,Практически ежедневно,Используется на нескольких этапах,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Скорее да, чем нет"
4,"Редко, для отдельных задач",Используется на одном этапе работы,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование запрещено,Есть плагины/расширения в IDE,"Заметный, 10-30%","Скорее нет, чем да"
5,Не использую,Не встроен,Уверенный уровень,Почти не доверяю,Отношение нейтральное,Использую только веб-интерфейсы,Почти никакого,"Да, планирую активное расширение"
6,Регулярно несколько раз в неделю,Не встроен,Нет опыта,Почти не доверяю,Отношение нейтральное,Интеграции нет,"Небольшой, до 10%","Скорее нет, чем да"
7,Не использую,Не встроен,Уверенный уровень,Почти не доверяю,Использование запрещено,Интеграции нет,"Существенный, более 30%",Нет
8,Практически ежедневно,Покрывает почти весь цикл разработки,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
9,"Редко, для отдельных задач",Используется на нескольких этапах,Базовый уровень,Доверяю только простым фрагментам,Отношение нейтральное,Есть плагины/расширения в IDE,"Заметный, 10-30%",Нет
10,Практически ежедневно,Используется на нескольких этапах,Продвинутый уровень,Доверяю типовым решениям,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Скорее да, чем нет"
11,Не использую,Не встроен,Уверенный уровень,Доверяю типовым решениям,Отношение нейтральное,Использую только веб-интерфейсы,"Заметный, 10-30%","Скорее нет, чем да"
12,Практически ежедневно,Используется на нескольких этапах,Уверенный уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть интеграция в IDE и/или командные процессы,"Существенный, более 30%","Да, планирую активное расширение"
13,Практически ежедневно,Покрывает почти весь цикл разработки,Продвинутый уровень,Часто принимаю AI-решение после ревью,Использование поощряется,Есть плагины/расширения в IDE,"Заметный, 10-30%","Да, планирую активное расширение"
