question_code,question_text,option_code,option_text,count,share,ci_lower,ci_upper
Q1,Как часто вы используете AI-инструменты в разработке?,1,Не использую,23,0.23,0.1584,0.3215
Q1,Как часто вы используете AI-инструменты в разработке?,2,"Редко, для отдельных задач",29,0.29,0.2101,0.3854
Q1,Как часто вы используете AI-инструменты в разработке?,3,Регулярно несколько раз в неделю,19,0.19,0.1251,0.2778
Q1,Как часто вы используете AI-инструменты в разработке?,4,Практически ежедневно,29,0.29,0.2101,0.3854
Q2,Насколько глубоко AI встроен в ваш рабочий процесс?,1,Не встроен,28,0.28,0.2014,0.3749
Q2,Насколько глубоко AI встроен в ваш рабочий процесс?,2,Используется на одном этапе работы,13,0.13,0.0776,0.2098
Q2,Насколько глубоко AI встроен в ваш рабочий процесс?,3,Используется на нескольких этапах,30,0.3,0.2189,0.3959
Q2,Насколько глубоко AI встроен в ваш рабочий процесс?,4,Покрывает почти весь цикл разработки,29,0.29,0.2101,0.3854
Q3,Насколько уверенно вы формулируете запросы к AI?,1,Нет опыта,20,0.2,0.1334,0.2888
Q3,Насколько уверенно вы формулируете запросы к AI?,2,Базовый уровень,26,0.26,0.184,0.3537
Q3,Насколько уверенно вы формулируете запросы к AI?,3,Уверенный уровень,29,0.29,0.2101,0.3854
Q3,Насколько уверенно вы формулируете запросы к AI?,4,Продвинутый уровень,25,0.25,0.1755,0.343
Q4,Насколько вы доверяете AI-коду после собственной проверки?,1,Почти не доверяю,18,0.18,0.117,0.2667
Q4,Насколько вы доверяете AI-коду после собственной проверки?,2,Доверяю только простым фрагментам,23,0.23,0.1584,0.3215
Q4,Насколько вы доверяете AI-коду после собственной проверки?,3,Доверяю типовым решениям,32,0.32,0.2367,0.4166
Q4,Насколько вы доверяете AI-коду после собственной проверки?,4,Часто принимаю AI-решение после ревью,27,0.27,0.1927,0.3643
Q5,Как ваша команда относится к применению AI?,1,Использование запрещено,12,0.12,0.07,0.1981
Q5,Как ваша команда относится к применению AI?,2,Отношение нейтральное,25,0.25,0.1755,0.343
Q5,Как ваша команда относится к применению AI?,3,Использование разрешено и ограниченно регламентировано,35,0.35,0.2636,0.4475
Q5,Как ваша команда относится к применению AI?,4,Использование поощряется,28,0.28,0.2014,0.3749
Q6,Насколько технически интегрированы AI-инструменты в вашу среду?,1,Интеграции нет,19,0.19,0.1251,0.2778
Q6,Насколько технически интегрированы AI-инструменты в вашу среду?,2,Использую только веб-интерфейсы,24,0.24,0.1669,0.3323
Q6,Насколько технически интегрированы AI-инструменты в вашу среду?,3,Есть плагины/расширения в IDE,29,0.29,0.2101,0.3854
Q6,Насколько технически интегрированы AI-инструменты в вашу среду?,4,Есть интеграция в IDE и/или командные процессы,28,0.28,0.2014,0.3749
Q7,Какой прирост продуктивности вы ощущаете от AI?,1,Почти никакого,26,0.26,0.184,0.3537
Q7,Какой прирост продуктивности вы ощущаете от AI?,2,"Небольшой, до 10%",20,0.2,0.1334,0.2888
Q7,Какой прирост продуктивности вы ощущаете от AI?,3,"Заметный, 10-30%",31,0.31,0.2278,0.4063
Q7,Какой прирост продуктивности вы ощущаете от AI?,4,"Существенный, более 30%",23,0.23,0.1584,0.3215
Q8,Планируете ли вы расширять использование AI в ближайший год?,1,Нет,13,0.13,0.0776,0.2098
Q8,Планируете ли вы расширять использование AI в ближайший год?,2,"Скорее нет, чем да",24,0.24,0.1669,0.3323
Q8,Планируете ли вы расширять использование AI в ближайший год?,3,"Скорее да, чем нет",25,0.25,0.1755,0.343
Q8,Планируете ли вы расширять использование AI в ближайший год?,4,"Да, планирую активное расширение",38,0.38,0.291,0.4779
